Correct one,,
0,0.040,0
3.141592654,5.825,1
6.283185307,11.650,2
9.424777961,17.425,3
12.56637061,23.225,4
15.70796327,29.125,5
18.84955592,34.800,6
21.99114858,40.45,7
25.13274123,46.09,8
28.27433388,51.65,9
31.41592654,57.02,10
34.55751919,62.43,11
37.69911184,67.85,12
40.8407045,73.15,13
43.98229715,77.95,14
47.1238898,90.95,15
50.26548246,94.99,16
53.40707511,105.1,17
56.54866776,118.9,18
59.69026042,127.1,19
62.83185307,131.9,20
65.97344573,136.5,21
69.11503838,140.2,22
